statusID,sensorName,value1,value2,value3,timestamp
5,3-axis Accelerometer,-0.076614454,10.323798,0.60812724,1556444563702
5,3-axis Gyroscope,0.26099774,0.13529271,-0.012783563,1556444563702
5,Linear Acceleration,-5.7877774,18.270374,1.2444874,1556444563702
5,Gravity,5.711163,-7.946575,-0.63636017,1556444563702
5,3-axis Gyroscope,0.175774,0.3451562,-0.044742472,1556444563707
5,Linear Acceleration,-5.7879477,18.275043,1.1815188,1556444563708
5,Gravity,5.7113333,-7.951245,-0.5733915,1556444563707
5,3-axis Accelerometer,0.2873042,10.041282,0.842759,1556444563712
5,3-axis Gyroscope,0.16405573,0.34302562,-0.035154797,1556444563712
5,Linear Acceleration,-5.4236846,17.997076,1.352993,1556444563712
5,Gravity,5.710989,-7.9557943,-0.51023406,1556444563713
5,3-axis Gyroscope,0.14061919,0.3451562,-0.0085223755,1556444563718
5,Linear Acceleration,-5.422014,18.002005,1.2910464,1556444563717
5,Gravity,5.7093186,-7.960723,-0.44828743,1556444563717
5,3-axis Accelerometer,0.31124622,9.385271,0.8619126,1556444563722
5,3-axis Gyroscope,0.10013791,0.32171968,0.034089502,1556444563722
5,Linear Acceleration,-5.3944583,17.35173,1.2502971,1556444563722
5,Gravity,5.7057047,-7.9664593,-0.38838452,1556444563723
5,3-axis Gyroscope,0.05646074,0.28336897,0.07776668,1556444563727
5,Linear Acceleration,-5.388849,17.358326,1.1931484,1556444563727
5,Gravity,5.700095,-7.973054,-0.33123574,1556444563727
5,3-axis Accelerometer,0.14844051,8.829816,1.0390835,1556444563732
5,3-axis Gyroscope,0.019175345,0.24821419,0.1043991,1556444563732
5,Linear Acceleration,-5.5445375,16.810055,1.3151175,1556444563733
5,Gravity,5.692978,-7.980238,-0.27603403,1556444563732
5,3-axis Gyroscope,-0.0042611877,0.22371235,0.1033338,1556444563738
5,Linear Acceleration,-5.5371976,16.81696,1.2614655,1556444563737
5,Gravity,5.685638,-7.987144,-0.2223821,1556444563737
5,3-axis Accelerometer,0.033518825,8.939949,1.1061212,1556444563742
5,3-axis Gyroscope,-0.0063917814,0.2119941,0.07776668,1556444563742
5,Linear Acceleration,-5.6460953,16.932663,1.2760931,1556444563742
5,Gravity,5.679614,-7.9927144,-0.1699719,1556444563742
